Модель,PartNumber/Артикул Производителя,Ситилинк - Полное Наименование,Бренд,Группа товаров,Ссылка на сайт поставщика/вендора,Код Товара
G3 IAP,82TT001HRU,"Ноутбук Lenovo V15 G3 IAP 82TT001HRU, 15.6"", TN, Intel Core i5 1235U 1.3ГГц, 10-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=111276,1903380
G3 IAP,82TT001MRU,"Ноутбук Lenovo V15 G3 IAP 82TT001MRU, 15.6"", TN, Intel Core i3 1215U 1.2ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, без операционной системы, черный",LENOVO,Ноутбуки,https://3logic.ru/products/?I=111275,1903381
XE4-73RU914JP,XE4-73RU914JP,"Ноутбук игровой GIGABYTE Aero 16 XE4-73RU914JP XE4-73RU914JP, 16"", AMOLED, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 16ГБ DDR4, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Pr",GIGABYTE,Ноутбуки,https://3logic.ru/catalog/noutbuki/gigabyte/aero-16-aero-16-xe4-73ru914jpnb-rp86xe4-ru-uhd-i7-12700h-108784/,1903749
XE5-73RU944JP,XE5-73RU944JP,"Ноутбук игровой GIGABYTE Aero 16 XE5-73RU944JP XE5-73RU944JP, 16"", AMOLED, Intel Core i7 12700H 2.3ГГц, 14-ядерный, 32ГБ DDR5, 1ТБ SSD,  NVIDIA GeForce  RTX 3070 Ti для ноутбуков - 8 ГБ, Windows 11 Pr",GIGABYTE,Ноутбуки,https://3logic.ru/catalog/noutbuki/gigabyte/aero-16-aero-16-xe5-73ru944jpnb-rp86xe5-ru-uhd-i7-12700h-108785/,1903750
250 G9,6F1Z7EA,"Ноутбук HP 250 G9 6F1Z7EA, 15.6"", SVA, Intel Core i3 1215U 1.2ГГц, 6-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics, Free DOS, темно-серебристый",HP,Ноутбуки,https://www.hp.com/ua-uk/products/laptops/product-details/product-specifications/2101336483,1907620
250 G9,6S7B5EA,"Ноутбук HP 250 G9 6S7B5EA, 15.6"", SVA, Intel Core i5 1235U 1.3ГГц, 10-ядерный, 8ГБ DDR4, 512ГБ SSD,  Intel Iris Xe graphics, Free DOS, темно-серебристый",HP,Ноутбуки,https://www.hp.com/ua-uk/products/laptops/product-details/product-specifications/2101336483,1907735
A2681,MLY33ZP/A,"Ноутбук Apple MacBook Air A2681 MLY33ZP/A, 13.6"", IPS, Apple M2 8 core 3.2ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-m2/specs/,1914928
A2681,MLXX3LL/A,"Ноутбук Apple MacBook Air A2681 MLXX3LL/A, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1914933
A2337,MGN63SA/A,"Ноутбук Apple MacBook Air A2337 MGN63SA/A, 13.3"", IPS, Apple M1 8 core 3.2ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/ru/macbook-air/specs/,1914954
A2780,MNW83LL/A,"Ноутбук Apple MacBook Pro A2780 MNW83LL/A, 16.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.5ГГц, 12-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1921953
A2780,MNW83RU/A,"Ноутбук Apple MacBook Pro A2780 MNW83RU/A, 16.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.5ГГц, 12-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1924529
A2779,MPHE3RU/A,"Ноутбук Apple MacBook Pro A2779 MPHE3RU/A, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 10-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1924572
A2681,MLY33/Z160000D9,"Ноутбук Apple MacBook Air A2681 MLY33/Z160000D9, 13.6"", Retina, Apple M2 8 core 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-m2/specs/,1924857
A2681,MLY13/Z15Y000D9,"Ноутбук Apple MacBook Air A2681 MLY13/Z15Y000D9, 13.6"", Retina, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, белый",APPLE,Ноутбуки,https://www.apple.com/macbook-air-m2/specs/,1924867
A2681,MLXW3/Z15S000F7,"Ноутбук Apple MacBook Air A2681 MLXW3/Z15S000F7, 13.6"", Retina, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-m2/specs/,1924873
A2779,MPHE3PA/A,"Ноутбук Apple MacBook Pro A2779 MPHE3PA/A, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 10-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1928979
A2337,MGN63PA/A,"Ноутбук Apple MacBook Air A2337 MGN63PA/A, 13.3"", IPS, Apple M1 8 core 3.2ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/ru/macbook-air/specs/,1928981
CMP NS685U (Исп.4),NS685152018S125SCN2TNNNN2,"Ноутбук AQUARIUS CMP NS685U (Исп.4) NS685152018S125SCN2TNNNN2, 15.6"", IPS, Intel Core i5 1135G7 2.4ГГц, 4-ядерный, 8ГБ 256ГБ SSD,  Intel UHD Graphics, Linux Astra Special Edition, черный",AQUARIUS,Ноутбуки,https://www.aq.ru/product/aquarius-cmp-ns685/,1934004
A2779,MPHE3LL/A,"Ноутбук Apple MacBook Pro A2779 MPHE3LL/A, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 10-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1934863
A2681,Z1600000L,"Ноутбук Apple MacBook Air A2681 Z1600000L, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 512ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1937849
15IGL7,82V700BPUE,"Ноутбук Lenovo IdeaPad 1 15IGL7 82V700BPUE, 15.6"", 2023, TN, Intel Celeron N4020 1.1ГГц, 2-ядерный, 8ГБ DDR4, 256ГБ SSD,  Intel UHD Graphics  600, без операционной системы, серый",LENOVO,Ноутбуки,https://psref.lenovo.com/Detail/IdeaPad/IdeaPad_1_15IGL7?M=82V700BPUE,1938361
A2941,MQKP3ZS/A,"Ноутбук Apple MacBook Air A2941 MQKP3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1938428
A2941,MQKQ3ZS/A,"Ноутбук Apple MacBook Air A2941 MQKQ3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1938463
A2941,MQKU3ZS/A,"Ноутбук Apple MacBook Air A2941 MQKU3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, белый",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1938464
A2941,MQKV3ZS/A,"Ноутбук Apple MacBook Air A2941 MQKV3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, белый",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1938465
A2941,MQKW3ZS/A,"Ноутбук Apple MacBook Air A2941 MQKW3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 256ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1938466
A2941,MQKX3ZS/A,"Ноутбук Apple MacBook Air A2941 MQKX3ZS/A, 15.3"", 2023, IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 8ГБ 512ГБ SSD,  Mac OS, полночный",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1938467
A2780,Z1740000E,"Ноутбук Apple MacBook Pro A2780 Z1740000E, 16.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.49ГГц, 12-ядерный, 32ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1939098
A2779,Z17G0000F,"Ноутбук Apple MacBook Pro A2779 Z17G0000F, 14.2"", 2023, Retina XDR, Apple M2 Pro 10 core 3.49ГГц, 10-ядерный, 32ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1939102
A2779,Z17G0001E,"Ноутбук Apple MacBook Pro A2779 Z17G0001E, 14.2"", 2023, Retina XDR, Apple M2 Pro 12 core 3.49ГГц, 12-ядерный, 32ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-pro-14-and-16/specs/,1939104
A2681,Z15S0000B,"Ноутбук Apple MacBook Air A2681 Z15S0000B, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 256ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1939602
A2681,Z15S0000P,"Ноутбук Apple MacBook Air A2681 Z15S0000P, 13.6"", IPS, Apple M2 8 core 3.5ГГц, 8-ядерный, 16ГБ 512ГБ SSD,  Mac OS, серый космос",APPLE,Ноутбуки,https://www.apple.com/macbook-air-13-and-15-m2/specs/,1939605
